subj_course_id,sec_code,sec_id,instructor,type,days,date,time,location
AAPI 198,A00,795102,"Solomon, Amanda Lee Albaniel",IN,N/A,,0:00 - 0:00,TBA TBA
AAS 10,A01,734476,"Butler, Elizabeth Annette",LE,MW,,18:30 - 19:50,MANDE B-150
AAS 10,A01,734476,"Butler, Elizabeth Annette",DI,M,,14:00 - 14:50,PCYNH 240
AAS 10,A02,734477,"Butler, Elizabeth Annette",LE,MW,,18:30 - 19:50,MANDE B-150
AAS 10,A02,734477,"Butler, Elizabeth Annette",DI,M,,15:00 - 15:50,PCYNH 240
AAS 11,A01,734479,"Butler, Elizabeth Annette",LE,MW,,17:00 - 18:20,MANDE B-150
AAS 11,A01,734479,"Butler, Elizabeth Annette",FI,,2025-03-17,19:00 - 21:59,MANDE B-150
AAS 11,A01,734479,"Butler, Elizabeth Annette",DI,M,,14:00 - 14:50,RCLAS R02
AAS 11,A02,734480,"Butler, Elizabeth Annette",LE,MW,,17:00 - 18:20,MANDE B-150
AAS 11,A02,734480,"Butler, Elizabeth Annette",FI,,2025-03-17,19:00 - 21:59,MANDE B-150
AAS 11,A02,734480,"Butler, Elizabeth Annette",DI,M,,15:00 - 15:50,RCLAS R02
AESE 241,A00,733587,Staff,LE,FSa,,9:00 - 18:00, 
AESE 241,A00,733587,Staff,FI,,2025-03-19,8:00 - 10:59, 
AESE 278B,A00,733588,Staff,LE,WThFSa,,9:00 - 18:00, 
AESE 278B,A00,733588,Staff,FI,,2025-09-13,8:00 - 10:59, 
AESE 278C,A00,733589,Staff,LE,FSa,,9:00 - 18:00, 
AESE 278C,A00,733589,Staff,FI,,2025-03-19,8:00 - 10:59, 
AESE 279A,A00,733591,Staff,IN,FSa,,9:00 - 18:00, 
ANAR 121,A01,733532,Staff,LE,TuTh,,8:00 - 9:20,WLH 2209
ANAR 121,A01,733532,Staff,FI,,2025-03-20,8:00 - 10:59,WLH 2209
ANAR 121,A01,733532,Staff,LA,N/A,,0:00 - 0:00,TBA TBA
ANAR 143,A00,799583,"Dunseth, Zachary Clark",LE,TuTh,,1400 - 15:20,HSS 2321
ANAR 143,A00,799583,"Dunseth, Zachary Clark",FI,,2025-03-20,15:00 - 17:59,HSS 2321
ANAR 158,A00,733535,"Goldstein, Paul S",LE,TuTh,,14:00 - 15:20,WLH 2208
ANAR 158,A00,733535,"Goldstein, Paul S",FI,,2025-03-20,15:00 - 17:59,WLH 2208
ANAR 164,A00,733536,Staff,LE,TuTh,,15:30 - 16:50,PODEM 1A18
ANAR 164,A00,733536,Staff,FI,,2025-03-18,15:00 - 17:59,PODEM 1A18
ANAR 165,A00,799586,Staff,LE,TuTh,,14:00 - 15:20,CENTR 217B
ANAR 165,A00,799586,Staff,FI,,2025-03-20,15:00 - 17:59,CENTR 217B
ANBI 100,A00,733537,"Fox, Patrick Keolu Ozer",LE,MWF,,8:00 - 8:50,WLH 2114
ANBI 100,A00,733537,"Fox, Patrick Keolu Ozer",FI,,2025-03-17,8:00 - 10:59,WLH 2114
ANBI 130,A00,733538,"Non, Amy L",LE,TuTh,,14:00 - 15:20,PETER 102
ANBI 134,A00,733552,"Simonson, Tatum Sasha Summ",LE,W,,17:00 - 19:50,HSS 2150
ANBI 134,A00,733552,"Simonson, Tatum Sasha Summ",FI,,2025-03-17,19:00 - 21:59,HSS 2150
ANBI 140,A00,733553,Staff,LE,TuTh,,11:00 - 12:20,SSB 102
ANBI 140,A00,733553,Staff,FI,,2025-03-20,11:30 - 14:29,SSB 102
ANBI 143,A00,733554,"Wilder, Linnea Lorene",SE,MWF,,11:00 - 11:50,PODEM 0132
ANBI 143,A00,733554,"Wilder, Linnea Lorene",FI,,2025-03-17,11:30 - 14:29,PODEM 0132
ANBI 173,A00,733555,"Wilder, Linnea Lorene",LE,MWF,,10:00 - 10:50,PETER 103
ANBI 173,A00,733555,"Wilder, Linnea Lorene",FI,,2025-03-21,8:00 - 10:59,PETER 103
ANES 296,1,791559,Staff,IN,N/A,,0:00 - 0:00,TBA TBA
ANES 296,2,791560,Staff,IN,N/A,,0:00 - 0:00,TBA TBA
ANES 296,3,791561,Staff,IN,N/A,,0:00 - 0:00,TBA TBA
ANES 299,1,791562,"Suresh, Preetham John",IN,N/A,,0:00 - 0:00,TBA TBA
ANES 299,2,791563,"Lerman, Imanuel Ruvin",IN,N/A,,0:00 - 0:00,TBA TBA
ANES 299,3,791564,Staff,IN,N/A,,0:00 - 0:00,TBA TBA
ANES 401,A00,791565,"Weinstein, Lawrence",CL,N/A,,0:00 - 0:00,TBA TBA
ANES 402,A01,791567,"Polston, Gregory Robert",LE,N/A,,0:00 - 0:00,TBA TBA
ANES 402,A01,791567,"Polston, Gregory Robert",CL,N/A,,0:00 - 0:00,TBA TBA
ANES 403,A00,791568,"Meier, Angela",CL,N/A,,0:00 - 0:00,TBA TBA
ANES 410,A00,791569,"Weinstein, Lawrence",CL,N/A,,0:00 - 0:00,TBA TBA
ANES 496,1,791570,Staff,IN,N/A,,0:00 - 0:00,TBA TBA
ANES 496,2,791571,Staff,IN,N/A,,0:00 - 0:00,TBA TBA
ANSC 101A,A00,733558,"Kang, Byung Chu",SE,TuTh,,12:30 - 13:50,YORK 2622
ANSC 109,A00,733559,"Pedersen, David",LE,TuTh,,15:30 - 16:50,PODEM 0132
ANSC 125,A00,733560,"Brenner, Suzanne A",LE,TuTh,,11:00 - 12:20,RWAC 0121
ANSC 125,A00,733560,"Brenner, Suzanne A",FI,,2025-03-20,11:30 - 14:29,RWAC 0121
ANSC 135,A00,733561,"Stone, Annika Britt",LE,TuTh,,14:00 - 15:20,SOLIS 110
ANSC 135,A00,733561,"Stone, Annika Britt",FI,,2025-03-20,15:00 - 17:59,SOLIS 110
ANSC 139,A00,733562,"Csordas, Thomas J.",SE,TuTh,,12:30 - 13:50,PODEM 0132
ANSC 146,A00,733563,"Kang, Byung Chu",LE,TuTh,,8:00 - 9:20,RWAC 0121
ANSC 148,A00,733564,"Schonberg, Jeffrey",LE,TuTh,,11:00 - 12:20,CENTR 113
ANSC 148,A00,733564,"Schonberg, Jeffrey",FI,,2025-03-20,11:30 - 14:29,CENTR 113
ANSC 150,A00,733565,"Sloane, Julia Kathryn",LE,MWF,,15:00 - 15:50,WLH 2205
ANSC 150,A00,733565,"Sloane, Julia Kathryn",FI,,2025-03-19,15:00 - 17:59,WLH 2205
ANSC 154,A00,733566,"Brenner, Suzanne A",LE,W,,10:00 - 12:50,SSB 269
ANSC 164,A00,733567,"Stewart, Alexander B",LE,MWF,,11:00 - 11:50,MANDE B-104
ANSC 164,A00,733567,"Stewart, Alexander B",FI,,2025-03-17,11:30 - 14:29,MANDE B-104
ANSC 184,A00,733568,"Fortier, Jana",SE,TuTh,,11:00 - 12:20,WLH 2112
ANSC 190,A00,733569,"Jassal, Aftab",LE,TuTh,,15:30 - 16:50,SOLIS 111
ANSC 190,A00,733569,"Jassal, Aftab",FI,,2025-03-18,15:00 - 17:59,SOLIS 111
